step	bond_idx	atom_i	atom_j	S(t)
1000	57330	20263	20264	0.9824
1000	57485	22169	22183	0.9824
1000	57550	26118	27458	0.9824
1000	57608	18942	18941	0.9824
1000	57613	14018	13996	0.9824
1000	57693	43532	42213	0.9824
1000	57697	12462	12491	0.9824
1000	57728	34078	34079	0.9824
1000	57776	4838	4839	0.9824
1000	57803	14217	14192	0.9824
1000	57806	14216	14191	0.9824
1000	57821	26563	26584	0.9824
1000	57831	23075	21818	0.9824
1000	57974	40536	39232	0.9824
1000	57984	15277	15245	0.9824
1000	58008	24476	24477	0.9824
1000	58100	14982	13679	0.9824
1000	58103	40574	40575	0.9824
1000	58165	15560	15561	0.9824
1000	58182	21185	22449	0.9824
1000	58284	53765	53764	0.9824
1000	58288	32258	33460	0.9824
1000	58299	19195	17800	0.9824
1000	58328	55334	55335	0.9824
1000	58353	30946	32206	0.9824
1000	58503	23967	22677	0.9824
1000	58523	37751	37771	0.9824
1000	58739	44605	43361	0.9824
1000	58843	15397	15396	0.9824
1000	58883	935	964	0.9824
1000	58916	51932	53159	0.9824
1000	58943	28359	28393	0.9824
1000	58959	44746	43504	0.9824
1000	59008	41107	41108	0.9824
1000	59022	11958	11986	0.9824
1000	59024	45814	45782	0.9824
1000	59125	9429	10748	0.9824
1000	59331	51799	53017	0.9824
1000	59365	26229	26256	0.9824
1000	59404	18334	18333	0.9824
1000	59468	4264	3000	0.9824
1000	59490	11646	11618	0.9824
1000	59525	46465	46490	0.9824
1000	59558	1305	1331	0.9824
1000	59565	44853	44829	0.9824
1000	59604	22544	23846	0.9824
2000	39249	9961	11255	0.9631
2000	39293	30091	30121	0.9631
2000	39369	53519	53549	0.9631
2000	39412	10993	10992	0.9631
2000	39504	19049	19081	0.9631
2000	39605	24282	23028	0.9631
2000	39678	45868	45897	0.9631
2000	39715	21486	21487	0.9631
2000	39744	19955	19926	0.9631
2000	39776	17395	18793	0.9631
2000	39820	12725	12724	0.9631
2000	39931	35893	37179	0.9631
2000	39955	53207	53208	0.9631
2000	39956	51968	50721	0.9631
2000	40110	55206	55183	0.9631
2000	40204	43570	43544	0.9631
2000	40234	31248	31247	0.9631
2000	40246	16311	16337	0.9631
2000	40254	6128	6166	0.9631
2000	40353	33088	33117	0.9631
2000	40473	19982	19950	0.9631
2000	40484	23604	22331	0.9631
2000	40491	28440	28439	0.9631
2000	40510	47257	47258	0.9631
2000	40514	24193	24164	0.9631
2000	40540	40305	40306	0.9631
2000	40542	36382	35106	0.9631
2000	40543	38972	38933	0.9631
2000	40652	48975	48976	0.9631
2000	40692	9369	8082	0.9631
2000	40721	49423	50679	0.9631
2000	40814	19713	19682	0.9631
2000	40893	9933	9934	0.9631
2000	40901	26110	26145	0.9631
2000	40927	31217	29947	0.9631
2000	40984	41329	41350	0.9631
2000	41036	24261	24260	0.9631
2000	41077	35236	35268	0.9631
2000	41173	24372	24371	0.9631
2000	41232	20215	20240	0.9631
2000	41305	50432	50433	0.9631
2000	41397	50842	50841	0.9631
2000	41635	36611	36612	0.9631
2000	41648	46637	47831	0.9631
2000	41822	29031	29030	0.9631
2000	41826	51374	51355	0.9631
2000	41841	2938	2915	0.9631
2000	41851	10654	10622	0.9631
2000	41878	29134	27859	0.9631
2000	41885	38007	38008	0.9631
2000	41907	50883	52115	0.9631
2000	41957	14356	13035	0.9631
2000	42033	17750	17751	0.9631
2000	42034	17750	17784	0.9631
2000	42115	3194	3195	0.9631
2000	42318	24346	24320	0.9631
2000	42410	3431	3460	0.9631
2000	42464	32711	31466	0.9631
2000	42503	40002	41304	0.9631
2000	42548	18689	17308	0.9631
2000	42552	12883	11557	0.9631
2000	42670	16245	16214	0.9631
2000	42674	50012	49984	0.9631
2000	42682	46799	46798	0.9631
2000	42725	44052	44051	0.9631
2000	42788	15638	14311	0.9631
2000	42812	18413	18412	0.9631
2000	42825	12476	12475	0.9631
2000	42958	6217	6218	0.9631
2000	42974	49852	51120	0.9631
2000	43081	5137	5138	0.9631
2000	43100	32200	32173	0.9631
2000	43102	35203	35204	0.9631
2000	43149	47400	47429	0.9631
2000	43296	2558	1324	0.9631
2000	43326	36551	35301	0.9631
2000	43424	16406	16405	0.9631
2000	43509	30352	29065	0.9631
2000	43529	48173	49353	0.9631
2000	43574	51522	52752	0.9631
2000	43624	15670	16993	0.9631
2000	43628	10705	10704	0.9631
2000	43634	23324	24580	0.9631
2000	43641	40419	40420	0.9631
2000	43688	40279	41556	0.9631
2000	43718	14764	14735	0.9631
2000	43731	1017	1016	0.9631
2000	43739	4892	4862	0.9631
2000	43775	18447	19791	0.9631
2000	43781	35988	36006	0.9631
2000	43805	40717	40745	0.9631
2000	43833	8663	8664	0.9631
2000	43838	11597	11571	0.9631
2000	43967	37993	38026	0.9631
2000	43973	18687	18720	0.9631
2000	44177	2928	2956	0.9631
2000	44358	8603	8624	0.9631
2000	44428	9898	9865	0.9631
2000	44652	34987	33775	0.9631
2000	44739	49704	48527	0.9631
2000	44879	11877	11876	0.9631
2000	44965	20618	19296	0.9631
2000	44968	1778	1777	0.9631
2000	44986	28449	27130	0.9631
2000	45046	18748	18716	0.9631
2000	45052	16480	16479	0.9631
2000	45118	13286	13257	0.9631
2000	45146	41897	41870	0.9631
2000	45181	51973	51952	0.9631
2000	45350	4362	4363	0.9631
2000	45417	26389	25115	0.9631
2000	45500	2453	3713	0.9631
2000	45542	37490	38801	0.9631
2000	45547	42679	42678	0.9631
2000	45647	43762	43761	0.9631
2000	45704	49377	49397	0.9631
2000	45718	29868	31145	0.9631
2000	45746	29970	29969	0.9631
2000	45800	34842	34843	0.9631
2000	45820	17976	17943	0.9631
2000	45861	5221	3921	0.9631
2000	45864	40132	40131	0.9631
2000	45893	47318	47319	0.9631
2000	45940	34526	34554	0.9631
2000	45954	7893	7892	0.9631
2000	46007	47758	47776	0.9631
2000	46240	38527	38551	0.9631
2000	46495	30401	30402	0.9631
2000	46519	34318	34285	0.9631
2000	46533	39658	40932	0.9631
2000	46568	45979	44720	0.9631
2000	46574	23352	22071	0.9631
2000	46610	52972	51745	0.9631
2000	46633	12844	12845	0.9631
2000	46662	54301	53026	0.9631
2000	46668	3440	3466	0.9631
2000	46773	49220	49248	0.9631
2000	46850	28666	28667	0.9631
2000	46886	32418	33627	0.9631
2000	46934	35358	34116	0.9631
2000	46948	39497	39496	0.9631
2000	47014	22955	22979	0.9631
2000	47085	51166	51133	0.9631
2000	47123	47109	45877	0.9631
2000	47137	18389	18424	0.9631
2000	47183	3279	2031	0.9631
2000	47187	3100	3065	0.9631
2000	47205	4379	4403	0.9631
2000	47338	51322	52551	0.9631
2000	47424	51982	50738	0.9631
2000	47429	53202	53201	0.9631
2000	47504	29308	29307	0.9631
2000	47512	28691	28727	0.9631
2000	47518	45039	43778	0.9631
2000	47522	8359	8390	0.9631
2000	47540	20405	19073	0.9631
2000	47615	3559	2309	0.9631
2000	47713	25485	25508	0.9631
2000	47771	6097	4816	0.9631
2000	47787	55262	55261	0.9631
2000	47805	40752	40724	0.9631
2000	47911	2806	2807	0.9631
2000	48024	21075	21047	0.9631
2000	48028	19776	18431	0.9631
2000	48051	19942	21219	0.9631
2000	48076	41805	41773	0.9631
2000	48116	57489	57490	0.9631
2000	48135	44926	44900	0.9631
2000	48139	15969	15939	0.9631
2000	48153	1773	1798	0.9631
2000	48227	9986	8720	0.9631
2000	48229	9986	8692	0.9631
2000	48244	53007	52980	0.9631
2000	48374	39669	39693	0.9631
2000	48432	140	141	0.9631
2000	48519	54836	53569	0.9631
2000	48523	31579	31578	0.9631
2000	48574	22138	20857	0.9631
2000	48583	40714	39417	0.9631
2000	48635	25003	25004	0.9631
2000	48682	34368	33160	0.9631
2000	48774	3731	3730	0.9631
2000	48802	31654	31655	0.9631
2000	48815	39342	39341	0.9631
2000	48825	36362	36326	0.9631
2000	48827	36362	36363	0.9631
2000	48862	17514	17513	0.9631
2000	48923	28430	28399	0.9631
2000	48929	9182	9149	0.9631
2000	48949	14365	14366	0.9631
2000	48966	17330	18733	0.9631
2000	49005	16876	16875	0.9631
2000	49010	40532	40533	0.9631
2000	49013	29545	28283	0.9631
2000	49079	14196	14162	0.9631
2000	49101	57439	57417	0.9631
2000	49112	5077	3760	0.9631
2000	49136	11244	11267	0.9631
2000	49264	35915	35916	0.9631
2000	49388	26618	27954	0.9631
2000	49484	57163	55970	0.9631
2000	49504	48853	48854	0.9631
2000	49535	39165	39192	0.9631
2000	49603	39688	39707	0.9631
2000	49617	38716	38688	0.9631
2000	49858	24236	24268	0.9631
2000	49877	42249	40979	0.9631
2000	49911	51421	52648	0.9631
2000	49917	14493	14494	0.9631
2000	50003	5120	5119	0.9631
2000	50076	35713	35740	0.9631
2000	50232	30047	31313	0.9631
2000	50238	3482	4760	0.9631
2000	50272	43851	43827	0.9631
2000	50362	32237	32250	0.9631
2000	50370	7629	8922	0.9631
2000	50491	28559	27259	0.9631
2000	50513	45092	45093	0.9631
2000	50611	48011	49202	0.9631
2000	50675	30256	31506	0.9631
2000	50721	48849	48820	0.9631
2000	50737	28205	28231	0.9631
2000	50761	36274	36304	0.9631
2000	50815	9805	9771	0.9631
2000	50960	31264	31263	0.9631
2000	50978	8404	9694	0.9631
2000	51029	11980	11950	0.9631
2000	51106	45737	45738	0.9631
2000	51166	27583	27615	0.9631
2000	51268	33854	33855	0.9631
2000	51275	56668	56642	0.9631
2000	51304	27022	27060	0.9631
2000	51375	50328	50327	0.9631
2000	51402	27775	29053	0.9631
2000	51442	821	820	0.9631
2000	51449	22811	22810	0.9631
2000	51481	31246	29976	0.9631
2000	51498	17602	17601	0.9631
2000	51509	33855	33890	0.9631
2000	51521	12973	12946	0.9631
2000	51633	20229	18891	0.9631
2000	51642	15751	14419	0.9631
2000	51671	32999	32998	0.9631
2000	51857	40006	38669	0.9631
2000	51863	45949	45915	0.9631
2000	51968	30130	30100	0.9631
2000	52019	44721	43485	0.9631
2000	52084	32612	32579	0.9631
2000	52125	22841	24108	0.9631
2000	52146	1957	3188	0.9631
2000	52164	27166	25863	0.9631
2000	52316	34354	35594	0.9631
2000	52318	31941	31940	0.9631
2000	52322	35839	35862	0.9631
2000	52348	24273	24272	0.9631
2000	52373	10943	9634	0.9631
2000	52437	8767	8744	0.9631
2000	52602	55017	55016	0.9631
2000	52697	46273	47454	0.9631
2000	52706	55568	55569	0.9631
2000	52733	55244	55243	0.9631
2000	52795	14844	14843	0.9631
2000	52839	8245	8246	0.9631
2000	52885	8215	8214	0.9631
2000	52887	12097	12071	0.9631
2000	52888	18018	16680	0.9631
2000	52953	37881	37915	0.9631
2000	52995	21913	21943	0.9631
2000	53059	6569	6570	0.9631
2000	53105	13106	13107	0.9631
2000	53153	47484	47508	0.9631
2000	53232	30254	30223	0.9631
2000	53318	30140	30173	0.9631
2000	53343	27013	27012	0.9631
2000	53390	20021	18671	0.9631
2000	53524	29982	29981	0.9631
2000	53532	21903	21902	0.9631
2000	53572	52442	52417	0.9631
2000	53875	57366	57340	0.9631
2000	53893	52952	52951	0.9631
2000	54001	8049	6755	0.9631
2000	54013	17033	15715	0.9631
2000	54037	54035	54036	0.9631
2000	54056	7427	7426	0.9631
2000	54170	31196	32430	0.9631
2000	54306	53170	53189	0.9631
2000	54307	54517	53235	0.9631
2000	54324	26266	25007	0.9631
2000	54356	31917	31918	0.9631
2000	54457	2874	2873	0.9631
2000	54480	25089	26361	0.9631
2000	54509	57440	57418	0.9631
2000	54605	44022	44050	0.9631
2000	54664	47898	47922	0.9631
2000	54723	29429	29430	0.9631
2000	54774	35525	36809	0.9631
2000	54852	22178	22162	0.9631
2000	55029	4764	4763	0.9631
2000	55033	36590	36591	0.9631
2000	55034	37912	39238	0.9631
2000	55077	50753	50752	0.9631
2000	55088	18110	16782	0.9631
2000	55121	17254	17253	0.9631
2000	55157	25039	25040	0.9631
2000	55210	56659	56634	0.9631
2000	55349	7719	7748	0.9631
2000	55412	15235	15236	0.9631
2000	55444	42720	42745	0.9631
2000	55448	20804	19482	0.9631
2000	55465	40602	40603	0.9631
2000	55514	23221	23222	0.9631
2000	55584	50061	50024	0.9631
2000	55626	49788	49766	0.9631
2000	55686	30559	30533	0.9631
2000	55694	36244	36215	0.9631
2000	55700	43970	43944	0.9631
2000	55722	4493	4526	0.9631
2000	55751	8081	8055	0.9631
2000	55782	23857	25112	0.9631
2000	55785	49172	49147	0.9631
2000	55857	1575	1576	0.9631
2000	55875	24127	24150	0.9631
2000	55882	4131	4108	0.9631
2000	55898	13359	13360	0.9631
2000	56017	32576	33781	0.9631
2000	56111	17240	17241	0.9631
2000	56126	26760	26759	0.9631
2000	56241	9210	10538	0.9631
2000	56300	12524	12525	0.9631
2000	56437	6058	6057	0.9631
2000	56518	29848	28570	0.9631
2000	56531	55963	55935	0.9631
2000	56549	53528	53559	0.9631
2000	56587	48573	48553	0.9631
2000	56588	2142	2175	0.9631
2000	56605	14532	14531	0.9631
2000	56629	10672	10671	0.9631
2000	56826	15771	15746	0.9631
2000	56909	21019	21051	0.9631
2000	56939	52747	52748	0.9631
2000	57014	36878	36903	0.9631
2000	57057	49633	50876	0.9631
2000	57079	3711	3686	0.9631
2000	57129	51411	50141	0.9631
2000	57263	18449	17080	0.9631
2000	57368	10199	10225	0.9631
2000	57581	12390	12418	0.9631
2000	57702	34831	36098	0.9631
2000	57770	15023	13721	0.9631
2000	57840	27339	26019	0.9631
2000	57859	6089	6090	0.9631
2000	57957	9845	9879	0.9631
2000	57958	9845	9815	0.9631
2000	58020	29138	30444	0.9631
2000	58073	35586	35619	0.9631
2000	58170	35949	34686	0.9631
2000	58178	37186	37187	0.9631
2000	58224	36427	37711	0.9631
2000	58251	28894	28893	0.9631
2000	58305	30263	30235	0.9631
2000	58325	15245	15244	0.9631
2000	58464	42592	42593	0.9631
2000	58475	42298	43620	0.9631
2000	58487	31656	31657	0.9631
2000	58498	46801	47987	0.9631
2000	58536	47027	47048	0.9631
2000	58576	36299	36298	0.9631
2000	58674	29451	29480	0.9631
2000	58706	48383	49564	0.9631
2000	58717	19478	20803	0.9631
2000	58767	31949	30694	0.9631
2000	58809	43802	43778	0.9631
2000	58850	14135	14134	0.9631
2000	58890	7858	6558	0.9631
2000	58909	53109	53110	0.9631
2000	58934	27557	27590	0.9631
2000	58946	57202	57201	0.9631
2000	58973	8320	8319	0.9631
2000	58976	40337	40338	0.9631
2000	58994	2149	2150	0.9631
2000	59018	16590	17914	0.9631
2000	59053	22927	22897	0.9631
2000	59054	44596	45861	0.9631
2000	59088	42160	42126	0.9631
2000	59135	17222	18599	0.9631
2000	59152	10537	9209	0.9631
2000	59187	14830	16162	0.9631
2000	59221	50916	50915	0.9631
2000	59236	22922	24167	0.9631
2000	59366	55	1113	0.9631
2000	59572	54862	56148	0.9631
2000	59621	44607	44608	0.9631
3000	39261	39675	39676	0.9447
3000	39308	20406	20376	0.9447
3000	39310	20406	20407	0.9447
3000	39448	34493	35754	0.9447
3000	39483	42193	43516	0.9447
3000	39494	46491	46466	0.9447
3000	39524	41632	41633	0.9447
3000	39646	51647	50391	0.9447
3000	39742	8118	8093	0.9447
3000	39803	9669	10976	0.9447
3000	39817	28155	28132	0.9447
3000	39821	11428	11463	0.9447
3000	40008	37857	37829	0.9447
3000	40021	30199	28913	0.9447
3000	40076	8835	8814	0.9447
3000	40099	3232	3261	0.9447
3000	40127	27385	28677	0.9447
3000	40128	28677	29970	0.9447
3000	40154	32748	32749	0.9447
3000	40185	14235	15575	0.9447
3000	40295	47406	47436	0.9447
3000	40361	45943	45909	0.9447
3000	40362	47116	47117	0.9447
3000	40370	23829	22529	0.9447
3000	40379	31130	31131	0.9447
3000	40426	25179	25178	0.9447
3000	40428	28951	28952	0.9447
3000	40436	6464	6465	0.9447
3000	40439	54173	54148	0.9447
3000	40452	9597	9627	0.9447
3000	40566	50708	50686	0.9447
3000	40576	33340	33306	0.9447
3000	40688	8025	8026	0.9447
3000	40752	17491	17462	0.9447
3000	40763	46300	46324	0.9447
3000	40792	56239	56240	0.9447
3000	40870	17984	16654	0.9447
3000	40912	36489	36510	0.9447
3000	41032	6404	6381	0.9447
3000	41107	18568	18569	0.9447
3000	41248	28286	28317	0.9447
3000	41270	10547	10514	0.9447
3000	41330	50043	51326	0.9447
3000	41381	22252	22253	0.9447
3000	41514	38183	38215	0.9447
3000	41549	35074	35050	0.9447
3000	41566	28484	27174	0.9447
3000	41606	1708	1709	0.9447
3000	41769	23895	25150	0.9447
3000	41835	35106	35140	0.9447
3000	41844	27353	27354	0.9447
3000	41862	35652	35624	0.9447
3000	41864	21368	21350	0.9447
3000	41877	7579	7606	0.9447
3000	41881	31665	31693	0.9447
3000	41899	2256	3508	0.9447
3000	42119	417	393	0.9447
3000	42122	27485	27515	0.9447
3000	42142	50391	49187	0.9447
3000	42146	7399	6124	0.9447
3000	42193	13652	13630	0.9447
3000	42205	724	723	0.9447
3000	42326	47491	47492	0.9447
3000	42395	9654	9655	0.9447
3000	42414	3990	3989	0.9447
3000	42522	55680	55696	0.9447
3000	42544	22211	22186	0.9447
3000	42646	16256	16255	0.9447
