#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
12.4%,371000,1139629.9938267395,95319.0673427477,118.78265659344933,51.6
12.4%,372000,1139103.8571728226,96013.32299369984,119.64780910568048,51.6
12.4%,373000,1139481.2392937932,96067.72453904511,119.71560204846773,51.6
12.5%,374000,1138978.4469564296,96013.641708352,119.64820627462197,51.6
12.5%,375000,1138930.8758742027,95860.8927409393,119.45785686555836,51.6
12.5%,376000,1138277.6217044424,96009.25028000245,119.64273385928955,51.6
12.6%,377000,1138799.7276356388,95731.18015409398,119.2962144356792,51.6
12.6%,378000,1139027.2308640555,95525.7428750085,119.04020704436307,51.6
12.6%,379000,1139174.5641910639,95899.4494645271,119.50590465059207,51.6
12.7%,380000,1139138.6429962013,95852.28019837957,119.44712427328916,51.5
12.7%,381000,1138652.7115288228,95789.59261712249,119.36900561723519,51.5
12.7%,382000,1138955.0276729576,95212.36556398752,118.64968927539105,51.5
12.8%,383000,1138890.2918571215,95542.31139209845,119.06085404113531,51.5
12.8%,384000,1138997.1655338518,95751.67717158652,119.32175696623347,51.5
12.8%,385000,1138677.9774556998,95858.51929560283,119.45489917671179,51.5
