#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
14.1%,422000,784825.1434968691,96403.08043814341,120.13350861962569,1.81
14.1%,423000,783832.2263732869,95958.02739710997,119.5789020334234,1.82
14.1%,424000,783184.4716124684,96214.26204971332,119.89821099852358,1.83
14.2%,425000,781673.8806147389,96556.5331303656,120.32473498127298,1.84
14.2%,426000,781474.2487106808,96265.96843762259,119.96264534822855,1.85
14.2%,427000,780604.6600411516,95478.87714519896,118.98180492141793,1.86
14.3%,428000,779529.44279298,96444.87126057435,120.18558660410409,1.87
14.3%,429000,779391.8639307413,96621.76867596652,120.40602880450079,1.88
14.3%,430000,778877.5436591487,96335.6008790926,120.04941840018418,1.89
14.4%,431000,777525.7812664267,96233.8996032209,119.92268250081217,1.9
14.4%,432000,776747.0986575224,96693.42512065284,120.49532408506913,1.91
14.4%,433000,776200.1477738898,95939.69741264133,119.55605996927822,1.92
14.5%,434000,775953.786982378,95359.68977392833,118.83327857735492,1.93
14.5%,435000,774632.1661367845,96054.75979798922,119.6994459274775,1.94
14.5%,436000,773657.9313306436,96490.11997051588,120.2419736641553,1.95
14.6%,437000,773784.7671551406,96162.00223846192,119.83308699567122,1.96
14.6%,438000,772960.5951635502,96440.40424103793,120.18001999017906,1.97
14.6%,439000,772019.2729583178,96575.80467093136,120.34875037345908,1.98
14.7%,440000,771387.9703069087,95943.02592017675,119.56020781690799,1.98
14.7%,441000,770535.5400693212,96384.02833300852,120.10976667874534,1.99
14.7%,442000,769868.0542401057,96376.11859475022,120.099909891961,2
14.8%,443000,769373.8703656718,96584.02132411528,120.35898962485655,2.01
14.8%,444000,768740.2765582781,95892.20599302839,119.49687813772783,2.02
14.8%,445000,767894.8578650896,96418.23965425244,120.15239940414027,2.03
14.9%,446000,767396.0628231093,96260.97430392928,119.95642186656835,2.04
14.9%,447000,766507.7676005047,96258.5687815871,119.95342420469163,2.05
14.9%,448000,766255.5823826808,96461.44064214468,120.20623467815581,2.06
15.0%,449000,765836.6037290264,96426.41980671149,120.16259316985278,2.07
15.0%,450000,765081.3887675032,95698.25333175714,119.25518239938907,2.08
15.0%,451000,764505.1379866451,95789.526612324,119.368923364801,2.09
15.1%,452000,763765.3468406014,95955.62039709961,119.57590253013807,2.1
15.1%,453000,762904.2810902726,95906.35822891453,119.51451406537753,2.11
15.1%,454000,762808.0364910886,95588.58596760548,119.1185194921798,2.12
15.2%,455000,762271.2360007875,96219.73746497491,119.90503423325357,2.13
15.2%,456000,761688.5607874729,96169.87165363642,119.8428935335059,2.14
15.2%,457000,760979.600987805,96249.56602893144,119.94220534883304,2.15
15.3%,458000,760218.0956578739,96268.89861347375,119.96629681148337,2.16
15.3%,459000,759504.6255084518,96437.69804919683,120.17664764648018,2.17
15.3%,460000,759118.3398689572,96092.42262219574,119.74637977228713,2.18
15.4%,461000,758382.0778075475,96126.02722473942,119.7882564300764,2.19
15.4%,462000,757835.7053979635,95659.23658885695,119.20656135742436,2.2
15.4%,463000,757320.2435510103,96120.4585209403,119.7813169430516,2.21
15.5%,464000,757861.1448268238,95458.95702194559,118.9569812924666,2.22
15.5%,465000,756948.9547153544,96219.70881379009,119.9049985293389,2.23
15.5%,466000,756842.9653039686,96477.30347178168,120.22600227657972,2.24
15.6%,467000,755781.727484161,96758.21853694216,120.57606694514072,2.25
15.6%,468000,755489.7318127733,96349.93515571549,120.0672811794274,2.26
15.6%,469000,754704.2586142048,96851.40876548443,120.6921967313775,2.27
15.7%,470000,754693.9589196164,96532.46081848047,120.29473706757352,2.28
15.7%,471000,754726.1690288316,95820.23837911553,119.40719509101355,2.29
15.7%,472000,753933.7079597358,96724.38334273911,120.53390293361781,2.3
15.8%,473000,753192.8556277826,96470.12076775981,120.21705148961729,2.31
15.8%,474000,753280.8075322583,96397.73588023447,120.12684845388507,2.33
15.8%,475000,753244.0125204958,95994.52289440142,119.62438120399051,2.34
15.9%,476000,752240.025308352,95789.26624092186,119.36859890079073,2.35
15.9%,477000,751920.9913776573,95616.12344365189,119.15283554931148,2.36
15.9%,478000,751843.7885020655,95750.45172859558,119.32022987015473,2.37
16.0%,479000,751140.6139458735,96207.42670010684,119.88969307018418,2.38
16.0%,480000,751164.6263865307,95753.6124061809,119.32416857508215,2.39
16.0%,481000,750866.2574882731,95969.82178217427,119.59359970546195,2.4
16.1%,482000,750494.7690909468,95823.28428525306,119.41099077253706,2.41
16.1%,483000,749962.8973623235,96613.03110465722,120.3951404066049,2.42
16.1%,484000,749511.9714523628,96086.55235136328,119.73906448497011,2.43
16.2%,485000,749613.7526822258,96444.07456740651,120.18459379821955,2.44
16.2%,486000,749139.5325945131,96848.56847652429,120.6886572814271,2.45
16.2%,487000,748611.8468345124,96516.1033145256,120.27435302659238,2.46
16.3%,488000,748848.6941560116,96300.76850930617,120.00601174993027,2.47
16.3%,489000,748233.701023126,96260.32284532544,119.95561004595594,2.48
16.3%,490000,748138.955955023,96443.62163310457,120.18402937033386,2.49
16.4%,491000,747908.8129458409,96413.8782659127,120.14696442341847,2.5
16.4%,492000,746724.2102755271,96128.37122198829,119.7911774219412,2.51
16.4%,493000,747403.6087834407,95648.33482739414,119.1929760357862,2.52
16.5%,494000,746726.3809857946,96056.94640723962,119.70217078896572,2.53
16.5%,495000,746316.2523143329,96011.02515263032,119.64494563172637,2.54
16.5%,496000,746096.8896331023,96107.34741188843,119.76497842435347,2.55
16.6%,497000,745579.8105047606,96210.53319314378,119.89356425258141,2.56
16.6%,498000,745519.9943012055,96763.5419317956,120.5827007383619,2.57
16.6%,499000,745587.4485104457,96544.42741892941,120.3096493472605,2.58
16.7%,500000,745047.9880506676,96280.9865799293,119.98136033243915,2.59
16.7%,501000,744587.905546328,96260.59753277843,119.95595235003327,2.6
16.7%,502000,744063.7898463011,96033.38498443873,119.67280952399081,2.61
16.8%,503000,744114.6256711073,96192.80264804835,119.87146918484736,2.62
16.8%,504000,744406.7705129478,96506.91437822154,120.26290215641613,2.63
16.8%,505000,743762.9831865225,96988.6856771654,120.86326550820235,2.64
16.9%,506000,744190.8411581013,95978.72420872554,119.60469353910267,2.65
16.9%,507000,743172.0841148999,96549.7631222429,120.3162984787726,2.67
16.9%,508000,743072.1569471825,95818.74215620714,119.40533056026572,2.68
17.0%,509000,742625.6517151985,95672.46682929326,119.22304833269808,2.69
17.0%,510000,742040.8097198233,96316.06271234385,120.02507074954008,2.7
17.0%,511000,742163.7768492196,96047.57426172834,119.69049161109665,2.71
17.1%,512000,742175.6661717836,95816.60436421537,119.4026665328145,2.72
17.1%,513000,741919.2258024774,95486.60119898143,118.99143031593269,2.73
17.1%,514000,741520.0613389537,95960.35013065915,119.58179652735019,2.74
17.2%,515000,740996.5073601101,95793.69664843281,119.37411989033262,2.75
17.2%,516000,740938.8857385479,95618.52399426015,119.1558270156202,2.76
17.2%,517000,741257.5997075532,95967.43243704754,119.59062220295816,2.77
17.3%,518000,741450.8927482255,96443.07834295351,120.18335234474766,2.78
