step	bond_idx	atom_i	atom_j	S(t)
60000	1854	1691	1565	0.3537
61000	1489	1130	1142	0.3424
61000	1524	657	645	0.3424
61000	1545	815	692	0.3424
61000	1604	836	706	0.3424
61000	1608	1150	1151	0.3424
61000	1683	567	581	0.3424
61000	1762	39	189	0.3424
62000	1291	64	216	0.3392
62000	1503	382	383	0.3392
63000	1488	1130	1131	0.3360
63000	1861	771	763	0.3360
64000	1452	384	374	0.3296
64000	1500	1800	1812	0.3296
64000	1577	71	223	0.3296
64000	1804	1094	1222	0.3296
66000	1554	153	154	0.3264
66000	1749	1522	1523	0.3264
67000	1584	1419	1409	0.3199
67000	1615	882	869	0.3199
67000	1658	233	232	0.3199
67000	1780	999	1000	0.3199
68000	1285	206	356	0.3167
68000	1455	1193	1188	0.3167
69000	1270	1753	1626	0.3119
69000	1769	450	449	0.3119
69000	1802	1209	1210	0.3119
70000	1266	1095	1223	0.3071
70000	1385	514	503	0.3071
70000	1432	1552	1419	0.3071
71000	1660	1391	1380	0.3039
71000	1777	282	283	0.3039
72000	1299	1608	1596	0.2942
72000	1321	1749	1748	0.2942
72000	1459	1482	1488	0.2942
72000	1565	57	208	0.2942
72000	1672	1126	1117	0.2942
72000	1703	1478	1468	0.2942
73000	1467	1282	1155	0.2878
73000	1535	1192	1187	0.2878
73000	1580	1813	1812	0.2878
73000	1617	741	750	0.2878
74000	1474	644	484	0.2830
74000	1687	1151	1277	0.2830
74000	1781	999	1124	0.2830
75000	1325	1449	1297	0.2797
75000	1719	1621	1617	0.2797
76000	1312	1606	1611	0.2749
76000	1355	408	421	0.2749
76000	1759	1089	1078	0.2749
77000	1478	1698	1699	0.2685
77000	1581	1438	1439	0.2685
77000	1738	1379	1522	0.2685
77000	1872	763	897	0.2685
78000	1364	1170	1171	0.2637
78000	1450	899	764	0.2637
78000	1819	1345	1334	0.2637
79000	1341	1143	1151	0.2588
79000	1485	1704	1697	0.2588
79000	1807	1094	1093	0.2588
80000	1440	588	444	0.2540
80000	1522	1301	1292	0.2540
80000	1552	687	814	0.2540
81000	1426	1412	1413	0.2508
81000	1833	1270	1280	0.2508
82000	1492	1271	1260	0.2476
82000	1841	1445	1581	0.2476
84000	1263	1314	1304	0.2412
84000	1408	156	167	0.2412
84000	1621	1455	1590	0.2412
84000	1760	1089	1217	0.2412
85000	1486	1697	1691	0.2363
85000	1596	813	803	0.2363
85000	1776	1706	1707	0.2363
86000	1279	708	718	0.2331
86000	1538	838	839	0.2331
87000	1544	808	815	0.2299
87000	1742	750	749	0.2299
88000	1276	441	585	0.2251
88000	1548	520	374	0.2251
88000	1713	720	710	0.2251
89000	1616	882	1004	0.2219
