#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
12.4%,372000,27316.77676660195,3040.9882059388437,119.46654031860825,1.26e+03
12.4%,373000,27140.988695751876,3138.406777463445,123.29367114407356,1.26e+03
12.5%,374000,27045.518012993038,3014.973719240479,118.444549928133,1.27e+03
12.5%,375000,26937.74475451559,3071.327741046326,120.6584421112845,1.28e+03
12.5%,376000,26880.7578831017,2978.0715622489765,116.99483268902654,1.28e+03
12.6%,377000,26806.5634200871,3103.7151870880098,121.93079697303611,1.29e+03
12.6%,378000,26823.911825370044,3023.160771700376,118.76618183413008,1.3e+03
12.6%,379000,26726.09122590162,3077.7225648203553,120.90966553620227,1.3e+03
12.7%,380000,26659.185560893267,3053.030989361851,119.93964628743221,1.31e+03
12.7%,381000,26597.536648806185,3169.2481330237924,124.50528717084246,1.32e+03
12.7%,382000,26635.197429060936,2968.1058080091875,116.60332371231694,1.32e+03
12.8%,383000,26526.63311539404,3087.4844043543794,121.29316363527339,1.33e+03
