#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
11.1%,334000,35954.59282994084,2974.4943896531936,116.85430191244998,9.82e+03
11.2%,335000,35880.61644363776,2957.8171500318604,116.19912932225903,9.82e+03
11.2%,336000,35879.03195302561,3052.2405205537716,119.90859237753983,9.82e+03
11.2%,337000,35891.60971964523,3017.9873218695498,118.56294061418926,9.83e+03
11.3%,338000,35970.53324887715,3023.9636681884094,118.79772397081842,9.83e+03
11.3%,339000,35964.62690923363,2983.1577939418594,117.1946475065983,9.83e+03
11.3%,340000,35803.03078556433,3113.7611070567154,122.32545529516806,9.83e+03
11.4%,341000,35968.19588014111,2998.9119329343057,117.81355568830398,9.83e+03
11.4%,342000,35934.993510618806,3097.7103234843516,121.69489330250782,9.83e+03
11.4%,343000,35876.70039509982,2963.407756745918,116.41875873124724,9.83e+03
11.5%,344000,35810.87408120558,3041.402986287966,119.48283514448262,9.83e+03
11.5%,345000,35851.15537489951,3099.6417386418543,121.77076978448008,9.84e+03
11.5%,346000,35858.16865840182,3084.0312992600775,121.15750690429128,9.84e+03
11.6%,347000,35879.41165055707,3066.1685872160706,120.45576251592519,9.84e+03
11.6%,348000,35849.36840109527,2954.85628537941,116.08281047048278,9.84e+03
11.6%,349000,35796.20928955823,2973.128475894665,116.80064139815192,9.84e+03
11.7%,350000,35909.791984613985,2993.4701013179847,117.59977097354296,9.84e+03
11.7%,351000,35976.90583831072,2985.911423542735,117.30282503951116,9.84e+03
11.7%,352000,35918.40224311873,3005.921991206843,118.08894886727666,9.85e+03
11.8%,353000,35900.27225006372,3111.7194269051124,122.24524700508891,9.85e+03
11.8%,354000,35957.318767841905,3011.3229973668313,118.30112973628272,9.85e+03
11.8%,355000,35974.70044250414,3061.7039843572493,120.28036865665328,9.85e+03
11.9%,356000,35963.35196259804,3011.481497971291,118.30735650125874,9.85e+03
11.9%,357000,35911.19366057217,3043.3045960205136,119.55754070741114,9.85e+03
11.9%,358000,35988.62250356376,3036.8868474273877,119.3054166710344,9.85e+03
12.0%,359000,35936.524907592684,3106.2382542622395,122.02991676104054,9.85e+03
12.0%,360000,35921.7603241466,3060.5890259598827,120.23656703253899,9.85e+03
12.0%,361000,35948.27889566496,2984.6063693971078,117.25155542149616,9.85e+03
12.1%,362000,35962.369597651064,2981.506659262348,117.12978196474054,9.85e+03
12.1%,363000,35857.850987404585,3067.4539797325833,120.50625971831464,9.85e+03
12.1%,364000,35884.1474009268,3042.5754756581614,119.52889689781136,9.85e+03
12.2%,365000,35952.72657010332,3020.602264004574,118.66566974986779,9.85e+03
12.2%,366000,35913.16155387834,3033.889797746624,119.18767627473014,9.85e+03
12.2%,367000,35901.74712744728,3099.19535656288,121.75323347094518,9.85e+03
12.3%,368000,35938.17822280526,3009.7316203306273,118.23861179935469,9.85e+03
12.3%,369000,35951.59429179877,3085.8534745126976,121.22909184923108,9.86e+03
